run_id,red_profile,blue_profile,case,red_mode,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260419T134241Z__minimax-m2__qwen3-plus__kundur__s0,minimax-m2,qwen3-plus,kundur,llm,0,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A2,A1,False,True,lucky-recovery,11.768,True,delta,2.9334333333333302,0.0017786363904026548,0.9127775870627362,1.9720706782476114,0.33240454369257577,7,5,11,632,832,17392,220,94112,2928,112136,3980,108.18508740000107,
20260419T134432Z__minimax-m2__qwen3-plus__kundur__s1,minimax-m2,qwen3-plus,kundur,llm,1,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,5.468,True,voltage,2.0001,0.15870372623240803,-1.617765929623738e-13,3.473569234872457,81.40339786118196,7,6,11,571,650,12179,240,113629,1540,126379,2430,65.59153760000481,
20260419T134539Z__minimax-m2__qwen3-plus__kundur__s2,minimax-m2,qwen3-plus,kundur,llm,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,2.318,True,delta,2.866766666666664,0.0021587276494632324,0.9103698271253252,2.430533057610905,0.4962011738674015,7,5,11,59,457,17408,231,92204,2340,109671,3028,90.71389569999883,
20260419T134712Z__minimax-m2__qwen3-plus__kundur__s3,minimax-m2,qwen3-plus,kundur,llm,3,0.0,2.0,5.0,30.0,completed,A2,A2,True,True,blue-win-clean,6.954,True,delta,2.9334333333333302,0.0017786363904026548,0.9127775870627362,1.9720706782476114,0.33240454369257577,7,6,8,645,982,11944,248,49393,952,61982,2182,52.86555730000691,
20260419T134807Z__minimax-m2__qwen3-plus__kundur__s4,minimax-m2,qwen3-plus,kundur,llm,4,0.0,2.0,5.0,30.0,completed,None,A1,False,True,lucky-recovery,3.477,True,delta,2.9334333333333302,0.0017786363904026548,0.9127775870627362,1.9720706782476114,0.33240454369257577,7,5,8,59,631,17392,223,67175,1777,84626,2631,63.870509300002595,
20260419T134912Z__deepseek-chat__minimax-m2__kundur__s0,deepseek-chat,minimax-m2,kundur,llm,0,0.0,2.0,5.0,30.0,completed,A1,A2,False,True,lucky-recovery,4.6805,True,delta,2.866766666666664,0.002158727651244474,0.9103698271159834,2.4305330576738626,0.49620117413654086,7,5,8,11747,599,12766,1967,30603,2847,55116,5413,137.10727970000153,
20260419T135131Z__deepseek-chat__minimax-m2__kundur__s1,deepseek-chat,minimax-m2,kundur,llm,1,0.0,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,delta,2.866766666666664,0.002158727651244474,0.9103698271159834,2.4305330576738626,0.49620117413654086,7,4,7,11857,693,16044,3679,20102,1802,48003,6174,187.6661735000016,
20260419T135440Z__deepseek-chat__minimax-m2__kundur__s2,deepseek-chat,minimax-m2,kundur,llm,2,0.0,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,delta,2.866766666666664,0.0021587276500962815,0.9103698271196247,2.430533058101929,0.49620117401565267,7,5,7,11746,582,9808,3175,30281,2127,51835,5884,174.1978654999839,
20260419T135735Z__deepseek-chat__minimax-m2__kundur__s3,deepseek-chat,minimax-m2,kundur,llm,3,0.0,2.0,5.0,30.0,completed,A1,A2,False,True,lucky-recovery,6.835,True,delta,2.866766666666664,0.0021587276500962815,0.9103698271196247,2.430533058101929,0.49620117401565267,7,4,8,11836,672,6421,892,20683,3030,38940,4594,141.0084910000005,
20260419T135958Z__deepseek-chat__minimax-m2__kundur__s4,deepseek-chat,minimax-m2,kundur,llm,4,0.0,2.0,5.0,30.0,completed,None,A2,False,True,lucky-recovery,0.0,True,delta,2.9334333333333302,0.0017786363904026548,0.9127775870627362,1.9720706782476114,0.33240454369257577,7,4,6,10865,326,6346,1397,33037,2698,50248,4421,163.20737669999653,
20260419T140243Z__deepseek-chat__deepseek-chat__kundur__s0,deepseek-chat,deepseek-chat,kundur,llm,0,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,2.318,True,delta,2.866766666666664,0.0021587276513213016,0.9103698271154528,2.4305330576363033,0.4962011741519028,7,6,11,11706,542,46234,960,89832,1176,147772,2678,149.06781869999395,
20260419T140514Z__deepseek-chat__deepseek-chat__kundur__s1,deepseek-chat,deepseek-chat,kundur,llm,1,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,5.468,True,delta,2.866766666666664,0.002158727651512704,0.9103698271150089,2.4305330577186837,0.4962011741681067,7,6,11,11748,585,46210,966,89844,1112,147802,2663,140.97722160000558,
20260419T140737Z__deepseek-chat__deepseek-chat__kundur__s2,deepseek-chat,deepseek-chat,kundur,llm,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,None,A1,False,True,lucky-recovery,0.0,True,delta,2.9334333333333302,0.001778636390344035,0.9127775870637915,1.9720706782046982,0.3324045436746026,7,6,11,11042,521,45821,975,89358,1216,146221,2712,144.2376002999954,
20260419T141004Z__deepseek-chat__deepseek-chat__kundur__s3,deepseek-chat,deepseek-chat,kundur,llm,3,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,2.318,True,delta,2.866766666666664,0.0021587276515895315,0.9103698271144779,2.4305330576810924,0.49620117418348286,7,6,11,11751,587,46199,1053,89848,1098,147798,2738,140.90570510000543,
20260419T141227Z__deepseek-chat__deepseek-chat__kundur__s4,deepseek-chat,deepseek-chat,kundur,llm,4,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,0.0,True,delta,2.866766666666664,0.0021587276513213016,0.9103698271154528,2.4305330576363033,0.4962011741519028,7,6,11,11746,582,46220,955,93899,1207,151865,2744,128.60096010000416,
20260419T141438Z__deepseek-chat__qwen3-plus__kundur__s0,deepseek-chat,qwen3-plus,kundur,llm,0,0.0,2.0,5.0,30.0,completed,None,A1,False,True,lucky-recovery,4.725,True,delta,2.933333333333332,0.0017786363904894742,0.9127775870600454,1.9720706784389321,0.33240454373023454,7,5,9,11825,681,29988,222,130120,985,171933,1888,72.75835989999905,
20260419T141552Z__deepseek-chat__qwen3-plus__kundur__s1,deepseek-chat,qwen3-plus,kundur,llm,1,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,0.0,True,delta,2.866766666666664,0.002158727651244474,0.9103698271159834,2.4305330576738626,0.49620117413654086,7,5,11,11819,655,17619,222,109978,731,139416,1608,60.379125200001,
20260419T141655Z__deepseek-chat__qwen3-plus__kundur__s2,deepseek-chat,qwen3-plus,kundur,llm,2,0.0,2.0,5.0,30.0,completed,A1,A1,True,True,blue-win-clean,3.477,True,delta,2.866766666666664,0.001780823409186505,0.9127709509887484,1.9497507545002541,0.3310111292637288,7,5,10,11784,618,17619,203,110394,1296,139797,2117,72.23827190000156,
20260419T141809Z__deepseek-chat__qwen3-plus__kundur__s3,deepseek-chat,qwen3-plus,kundur,llm,3,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,0.0,True,delta,2.866766666666664,0.001780823413294108,0.9127709509525556,1.9497507546532091,0.33101112988059356,7,6,11,11832,669,22973,454,89497,881,124302,2004,66.255791399999,
20260419T141918Z__deepseek-chat__qwen3-plus__kundur__s4,deepseek-chat,qwen3-plus,kundur,llm,4,0.0,2.0,5.0,30.0,completed,A1,A1,True,True,blue-win-clean,4.725,True,delta,2.866766666666664,0.002158727651244474,0.9103698271159834,2.4305330576738626,0.49620117413654086,7,5,9,11809,640,17619,222,109862,1271,139290,2133,72.3822868999996,
20260419T142032Z__qwen3-plus__minimax-m2__kundur__s0,qwen3-plus,minimax-m2,kundur,llm,0,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,2.318,True,voltage,2.0001,1.0668289589091002,0.4872009410679178,1150.7898554618632,6054.778706167816,7,0,11,5750,859,1686,2244,19005,2384,26441,5487,160.95122589999664,
20260419T142315Z__qwen3-plus__minimax-m2__kundur__s1,qwen3-plus,minimax-m2,kundur,llm,1,0.0,2.0,5.0,30.0,completed,A1,A1,True,False,diag-right-mitigation-failed,2.318,True,voltage,2.0001,1.0668290160585765,0.48720094106791484,1150.7899196385433,6054.779111376574,7,3,8,5822,699,15708,2981,33795,2473,55325,6153,183.91632419999223,
20260419T142621Z__qwen3-plus__minimax-m2__kundur__s2,qwen3-plus,minimax-m2,kundur,llm,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,0.0,True,voltage,2.0001,1.0668292245034698,0.4872009410679058,1150.7901537732387,6054.780607169544,7,4,11,5726,742,16330,2404,11628,2617,33684,5763,156.7683978999994,
20260419T142900Z__qwen3-plus__minimax-m2__kundur__s3,qwen3-plus,minimax-m2,kundur,llm,3,0.0,2.0,5.0,30.0,completed,A1,None,False,True,lucky-recovery,0.0,True,delta,2.866766666666664,0.0021587276494632324,0.9103698271253252,2.430533057610905,0.4962011738674015,7,5,5,5802,579,17348,3670,32328,1956,55478,6205,175.04280769999605,
20260419T143157Z__qwen3-plus__minimax-m2__kundur__s4,qwen3-plus,minimax-m2,kundur,llm,4,0.0,2.0,5.0,30.0,completed,A1,,False,True,lucky-recovery,0.0,True,delta,2.866766666666664,0.0021587276494632324,0.9103698271253252,2.430533057610905,0.4962011738674015,7,4,7,5992,766,19922,3265,19776,2942,45690,6973,217.53140470000653,
20260419T143536Z__qwen3-plus__deepseek-chat__kundur__s0,qwen3-plus,deepseek-chat,kundur,llm,0,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A2,A1,False,True,lucky-recovery,0.0,True,delta,2.9334333333333302,0.0017786363903506963,0.9127775870629617,1.972070678364613,0.3324045436796581,7,6,11,5634,624,45820,975,67334,1063,118788,2662,107.86898690000089,
20260419T143726Z__qwen3-plus__deepseek-chat__kundur__s1,qwen3-plus,deepseek-chat,kundur,llm,1,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,2.318,True,delta,2.866766666666664,0.002158727649013148,0.9103698271272591,2.4305330575297432,0.49620117381191875,7,6,11,5717,598,46228,949,93829,1182,145774,2729,110.04282780000358,
20260419T143919Z__qwen3-plus__deepseek-chat__kundur__s2,qwen3-plus,deepseek-chat,kundur,llm,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A2,A1,False,True,lucky-recovery,0.0,True,delta,2.9334333333333302,0.001778636390344035,0.9127775870637915,1.9720706782046982,0.3324045436746026,6,6,11,7634,929,45795,1008,93145,1210,146574,3147,122.44008160000521,
20260419T144123Z__qwen3-plus__deepseek-chat__kundur__s3,qwen3-plus,deepseek-chat,kundur,llm,3,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,8.202,True,voltage,2.0001,1.0668290160595717,0.4872009410679139,1150.7899196396493,6054.779111384298,7,6,11,6429,1388,46280,1066,89782,1085,142491,3539,116.91243779999786,
20260419T144323Z__qwen3-plus__deepseek-chat__kundur__s4,qwen3-plus,deepseek-chat,kundur,llm,4,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,2.318,True,delta,2.866766666666664,0.002158727649540948,0.9103698271247892,2.430533057573271,0.49620117388293394,7,6,11,5842,739,45811,973,88897,1104,140550,2816,101.24769640000886,
20260419T144506Z__qwen3-plus__qwen3-plus__kundur__s0,qwen3-plus,qwen3-plus,kundur,llm,0,0.0,2.0,5.0,30.0,completed,A1,A1,True,True,blue-win-clean,3.477,True,delta,2.866766666666664,0.0021587276494632324,0.9103698271253252,2.430533057610905,0.4962011738674015,7,5,8,5737,533,17408,222,171451,734,194596,1489,51.16624050000246,
20260419T144559Z__qwen3-plus__qwen3-plus__kundur__s1,qwen3-plus,qwen3-plus,kundur,llm,1,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,True,blue-win-clean,8.202,True,voltage,2.1667666666666663,0.0,1.0,0.0,0.0,7,5,11,5667,616,16976,241,64065,1435,86708,2292,60.77913239999907,
20260419T144701Z__qwen3-plus__qwen3-plus__kundur__s2,qwen3-plus,qwen3-plus,kundur,llm,2,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,2.318,True,voltage,2.0001,0.15870372623240803,-1.617765929623738e-13,3.473569234872457,81.40339786118196,6,6,11,7392,761,15536,240,90595,883,113523,1884,53.35808249999536,
20260419T144756Z__qwen3-plus__qwen3-plus__kundur__s3,qwen3-plus,qwen3-plus,kundur,llm,3,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A1,A1,True,False,diag-right-mitigation-failed,8.202,True,voltage,2.0001,0.15870374310056623,-3.8410511577048036e-13,3.4735690665880554,81.40339580594365,7,6,11,5767,633,4041,243,112798,1032,122606,1908,52.49912299999414,
20260419T144850Z__qwen3-plus__qwen3-plus__kundur__s4,qwen3-plus,qwen3-plus,kundur,llm,4,0.0,2.0,5.0,30.0,phase2_budget_exhausted,A2,A1,False,True,lucky-recovery,0.0,True,delta,2.9334333333333302,0.0017786363909695346,0.9127775870575886,1.9720706783088957,0.33240454380291595,7,5,11,5710,501,30088,216,112127,1139,147925,1856,56.308739099993545,
