run_id,profile,model,case,scenario,truth_label,predicted_label,correct,confidence,seed,temperature,t_a,t_b,stopped_reason,n_tool_calls,prompt_tokens,completion_tokens,wall_time_s,rationale,error
20260419T110701Z__minimax-m2__ieee39_a2__s0,minimax-m2,MiniMax M2.7,ieee39,ieee39_a2,A2,None,False,0.95,0,0.0,2.0,5.0,no_tool_call,4,11245,1052,31.40214019999985,"All voltages static, no generator omega/delta signals, all ROCOF/angle/spectral tools returned empty; no A1/A2/A3/A4 signature present.",
20260419T110736Z__minimax-m2__ieee39_a2__s1,minimax-m2,MiniMax M2.7,ieee39,ieee39_a2,A2,,False,,1,0.0,2.0,5.0,no_tool_call,6,8888,2586,73.05810660000134,,
20260419T110852Z__minimax-m2__ieee39_a2__s2,minimax-m2,MiniMax M2.7,ieee39,ieee39_a2,A2,None,False,0.92,2,0.0,2.0,5.0,no_tool_call,4,11226,782,21.134587600001396,"All 20 PMU buses show perfectly flat voltage (no sag/dip) throughout the 5s window; omega and delta signals are absent; ROCOF/angle tools found no generator data, indicating nominal grid state with no",
20260419T110917Z__deepseek-chat__kundur_a1__s0,deepseek-chat,deepseek-chat,kundur,kundur_a1,A1,A1,True,0.92,0,0.0,2.0,5.0,forced_final,6,45922,845,36.190800899999886,"Divergent ROCOF signs (gens 1-2 negative, 3-4 positive), large rotor angle separation >78 rad, voltage dips on buses 1,2,7 with spikes on 3,4,9.",
20260419T110954Z__deepseek-chat__kundur_a1__s1,deepseek-chat,deepseek-chat,kundur,kundur_a1,A1,A1,True,0.92,1,0.0,2.0,5.0,forced_final,6,45953,882,40.05216920000021,"Divergent ROCOF (gens 1-2 negative, 3-4 positive), massive rotor angle separation (78 rad), voltage dips on buses 1-2, coherent groups indicate line trip causing islanding.",
20260419T111035Z__deepseek-chat__kundur_a1__s2,deepseek-chat,deepseek-chat,kundur,kundur_a1,A1,A1,True,0.92,2,0.0,2.0,5.0,forced_final,6,45979,898,39.91545219999898,"Divergent ROCOF (gens 1-2 negative, 3-4 positive), massive rotor angle separation (78 rad), voltage dips on buses 1-2 side.",
20260419T111116Z__deepseek-chat__kundur_a1_mild__s0,deepseek-chat,deepseek-chat,kundur,kundur_a1_mild,A1,A1,True,0.85,0,0.0,2.0,5.0,forced_final,6,45493,977,43.1093609999989,"Divergent ROCOF (gens 1-2 positive, 3-4 negative), rotor angle separation 0.32 rad, voltage dips on buses 3,4,7,9 indicating line trip cascade.",
20260419T111200Z__deepseek-chat__kundur_a1_mild__s1,deepseek-chat,deepseek-chat,kundur,kundur_a1_mild,A1,A1,True,0.85,1,0.0,2.0,5.0,forced_final,6,45503,987,42.68058419999943,"Divergent ROCOF signs, rotor angle separation >18°, voltage dips on buses 3,9, 0.2Hz natural oscillation, no persistent offset.",
20260419T111243Z__deepseek-chat__kundur_a1_mild__s2,deepseek-chat,deepseek-chat,kundur,kundur_a1_mild,A1,A1,True,0.85,2,0.0,2.0,5.0,forced_final,6,45515,937,39.285499400000845,"Divergent ROCOF (gens 1,2 positive vs 3,4 negative), rotor angle separation 0.32 rad, deeper voltage dips on buses 3,4,9 indicating one-side cascade.",
20260419T111323Z__deepseek-chat__kundur_a2__s0,deepseek-chat,deepseek-chat,kundur,kundur_a2,A2,A1,False,0.85,0,0.0,2.0,5.0,forced_final,6,45543,1038,41.364177100000234,"Divergent ROCOF signs, rotor angle separation 0.36 rad, voltage dips, inter-area oscillation 0.2Hz",
20260419T111405Z__deepseek-chat__kundur_a2__s1,deepseek-chat,deepseek-chat,kundur,kundur_a2,A2,A1,False,0.85,1,0.0,2.0,5.0,forced_final,6,45520,979,40.126121799999964,"Divergent ROCOF signs (gens 1-2 positive, 3-4 negative), rotor angle separation 0.36 rad, voltage dips on buses 3/7/9, matches N-k cascade signature",
20260419T111446Z__deepseek-chat__kundur_a2__s2,deepseek-chat,deepseek-chat,kundur,kundur_a2,A2,A1,False,0.85,2,0.0,2.0,5.0,forced_final,6,45520,939,36.37482859999727,"Divergent ROCOF signs (gens 1-2 vs 3-4), rotor angle separation 0.36 rad, voltage dips at buses 3/9, natural 0.2Hz oscillation post-disturbance",
20260419T111523Z__deepseek-chat__ieee39_a1__s0,deepseek-chat,deepseek-chat,ieee39,ieee39_a1,A1,A2,False,0.75,0,0.0,2.0,5.0,forced_final,6,69664,844,37.04324020000058,"Coherent moderate voltage sag across all PMUs, no oscillation or divergence, matches load-altering step attack",
20260419T111601Z__deepseek-chat__ieee39_a1__s1,deepseek-chat,deepseek-chat,ieee39,ieee39_a1,A1,A2,False,0.75,1,0.0,2.0,5.0,forced_final,6,69654,888,36.335814900001424,"Coherent moderate voltage sag across all PMU buses starting at attack time, system-wide pattern, no oscillation or divergence observed.",
20260419T111639Z__deepseek-chat__ieee39_a1__s2,deepseek-chat,deepseek-chat,ieee39,ieee39_a1,A1,A2,False,0.85,2,0.0,2.0,5.0,forced_final,6,69408,801,34.32688699999926,"Coherent moderate voltage sag across all PMU buses, gradual recovery, no divergent separation or sustained oscillation.",
20260419T111714Z__deepseek-chat__ieee39_a2__s0,deepseek-chat,deepseek-chat,ieee39,ieee39_a2,A2,None,False,0.85,0,0.0,2.0,5.0,forced_final,6,68943,866,40.952449099997466,"All PMU voltages constant throughout attack window, no frequency/angle data available, suggests nominal operation.",
20260419T111758Z__deepseek-chat__ieee39_a2__s1,deepseek-chat,deepseek-chat,ieee39,ieee39_a2,A2,A4,False,0.75,1,0.0,2.0,5.0,forced_final,6,68532,833,33.088741499996104,Constant voltage across all PMUs with no frequency/angle data suggests FDI masking actual disturbance.,
20260419T111835Z__deepseek-chat__ieee39_a2__s2,deepseek-chat,deepseek-chat,ieee39,ieee39_a2,A2,None,False,0.85,2,0.0,2.0,5.0,forced_final,6,68333,779,31.174691700005496,"All PMU voltages constant throughout attack window, no frequency/angle data, physically impossible during real disturbance.",
20260419T111909Z__qwen3-plus__kundur_a1__s0,qwen3-plus,qwen-plus-latest,kundur,kundur_a1,A1,A1,True,0.94,0,0.0,2.0,5.0,no_tool_call,5,12666,225,7.1048171000002185,"Divergent ROCOF signs (gens 1–2 negative, 3–4 positive), large rotor-angle separation (78 rad), and post-fault voltage dips on buses 1–2 indicate N-k line trip cascade.",
20260419T111917Z__qwen3-plus__kundur_a1__s1,qwen3-plus,qwen-plus-latest,kundur,kundur_a1,A1,A1,True,0.97,1,0.0,2.0,5.0,no_tool_call,5,9633,221,6.818334799994773,"Divergent ROCOF signs (gens 1/2 negative, 3/4 positive), large rotor-angle separation (78+ rad), and voltage dip on buses 1/2/7 indicate N-k line trip cascade.",
20260419T111925Z__qwen3-plus__kundur_a1__s2,qwen3-plus,qwen-plus-latest,kundur,kundur_a1,A1,A1,True,0.97,2,0.0,2.0,5.0,no_tool_call,5,9633,219,6.040431499997794,"Divergent ROCOF signs (gens 1/2 negative, 3/4 positive), large rotor-angle separation (78+ rad), and voltage dip on buses 1/2/7 indicate N-k cascade.",
20260419T111932Z__qwen3-plus__kundur_a1_mild__s0,qwen3-plus,qwen-plus-latest,kundur,kundur_a1_mild,A1,A1,True,0.92,0,0.0,2.0,5.0,no_tool_call,5,9407,225,6.48303119999764,"Divergent ROCOF signs (gens 3/4 negative, 1/2 positive), large rotor-angle separation (0.318 rad), and voltage dip at bus 3/4 confirm N-k line trip cascade.",
20260419T111939Z__qwen3-plus__kundur_a1_mild__s1,qwen3-plus,qwen-plus-latest,kundur,kundur_a1_mild,A1,A1,True,0.92,1,0.0,2.0,5.0,no_tool_call,5,9407,225,6.275482999997621,"Divergent ROCOF signs (gens 1/2 positive, 3/4 negative), large rotor-angle separation (0.318 rad), and voltage dip at bus 3/4 confirm N-k line trip cascade.",
20260419T111946Z__qwen3-plus__kundur_a1_mild__s2,qwen3-plus,qwen-plus-latest,kundur,kundur_a1_mild,A1,A1,True,0.92,2,0.0,2.0,5.0,no_tool_call,5,9407,222,6.382974500003911,"Divergent ROCOF (gens 3/4 negative, 1/2 positive), large rotor-angle spread (0.32 rad), and voltage dip on bus 3/4 confirm N-k cascade separation.",
20260419T111953Z__qwen3-plus__kundur_a2__s0,qwen3-plus,qwen-plus-latest,kundur,kundur_a2,A2,A1,False,0.92,0,0.0,2.0,5.0,no_tool_call,5,12430,226,7.22121380000317,"Divergent ROCOF signs (gen3/4 negative, gen1/2 positive), large rotor-angle separation (0.36 rad), and post-fault voltage dip on bus 3/9 indicate N-k line trip cascade.",
20260419T112001Z__qwen3-plus__kundur_a2__s1,qwen3-plus,qwen-plus-latest,kundur,kundur_a2,A2,A1,False,0.92,1,0.0,2.0,5.0,no_tool_call,5,9397,223,6.833217800005514,"Divergent ROCOF signs (1:+0.42, 3:-0.26), large rotor-angle spread (0.36 rad), and voltage dip at bus 3 confirm inter-area separation from N-k line trip.",
20260419T112009Z__qwen3-plus__kundur_a2__s2,qwen3-plus,qwen-plus-latest,kundur,kundur_a2,A2,A1,False,0.92,2,0.0,2.0,5.0,no_tool_call,5,12430,226,6.224930999997014,"Divergent ROCOF signs (gen3/4 negative, gen1/2 positive), large rotor-angle separation (0.36 rad), and post-fault voltage dip on bus 3/9 indicate N-k line trip cascade.",
20260419T112016Z__qwen3-plus__ieee39_a1__s0,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a1,A1,None,False,0.95,0,0.0,2.0,5.0,no_tool_call,5,11618,197,6.518584099998407,No generator signals (omega/delta) in PMU window — likely no generators observed; all diagnostics failed. Trajectory appears nominal.,
20260419T112023Z__qwen3-plus__ieee39_a1__s1,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a1,A1,None,False,0.95,1,0.0,2.0,5.0,no_tool_call,5,11618,202,6.562420299997029,No generator omega/delta signals available in PMU window; all tools failed due to missing generator observability. Trajectory appears nominal by absence of attack signatures.,
20260419T112031Z__qwen3-plus__ieee39_a1__s2,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a1,A1,None,False,0.95,2,0.0,2.0,5.0,no_tool_call,5,11618,193,5.772740100001101,No PMU-covered generators detected; all diagnostics failed due to missing generator signals — trajectory is nominal.,
20260419T112037Z__qwen3-plus__ieee39_a2__s0,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a2,A2,None,False,0.95,0,0.0,2.0,5.0,no_tool_call,5,11278,190,5.885159299999941,No generator PMU signals available; all observed buses show static voltage — no dynamic signature of attack.,
20260419T112047Z__qwen3-plus__ieee39_a2__s1,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a2,A2,None,False,0.95,1,0.0,2.0,5.0,no_tool_call,5,11278,192,5.625716500006092,No generator PMU signals available; all diagnostics failed due to missing omega/delta coverage — trajectory is nominal.,
20260419T112056Z__qwen3-plus__ieee39_a2__s2,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a2,A2,None,False,0.95,2,0.0,2.0,5.0,no_tool_call,5,11278,207,5.651999000001524,"No generator omega/delta signals observed in PMU window — all buses report only voltage. No evidence of rotor-angle separation, ROCOF divergence, or oscillation. Attack signature absent.",
