run_id,profile,model,case,scenario,attack_label,seed,temperature,t_a,t_b,horizon_s,stopped_reason,recovery_success,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,n_tool_calls,prompt_tokens,completion_tokens,wall_time_s,error
20260419T095922Z__minimax-m2__ieee39_a2__s1,minimax-m2,MiniMax M2.7,ieee39,ieee39_a2,A2,1,0.0,2.0,4.0,15.0,no_tool_call+autorolled,True,3.8513999999999995,False,,,0.0,1.0018570383987089,0.0,1.0459950475221669,10,12756,2864,78.96292729999914,
20260419T100045Z__minimax-m2__ieee39_a2__s2,minimax-m2,MiniMax M2.7,ieee39,ieee39_a2,A2,2,0.0,2.0,4.0,15.0,max_steps+autorolled,True,6.622999999999999,False,,,0.0,1.0018570383987089,0.0,1.0459950475221669,14,21223,2514,74.9852694000001,
20260419T100203Z__deepseek-chat__kundur_a1__s0,deepseek-chat,deepseek-chat,kundur,kundur_a1,A1,0,0.0,2.0,4.0,15.0,max_steps+autorolled,False,3.477,True,voltage,2.0001,0.559045662990795,0.4194302459396467,1474.988954344978,1453.158745630194,10,64557,1547,64.54389079999964,
20260419T100308Z__deepseek-chat__kundur_a1__s1,deepseek-chat,deepseek-chat,kundur,kundur_a1,A1,1,0.0,2.0,4.0,15.0,max_steps+autorolled,False,0.0,True,voltage,2.0001,0.5590456629977594,0.4194302459396467,1474.9889543684767,1453.1587456536574,10,62924,892,41.461298199999874,
20260419T100351Z__deepseek-chat__kundur_a1__s2,deepseek-chat,deepseek-chat,kundur,kundur_a1,A1,2,0.0,2.0,4.0,15.0,max_steps+autorolled,False,3.477,True,voltage,2.0001,0.559045662990795,0.4194302459396467,1474.988954344978,1453.158745630194,10,59357,1374,55.16539460000058,
20260419T100447Z__deepseek-chat__kundur_a2__s0,deepseek-chat,deepseek-chat,kundur,kundur_a2,A2,0,0.0,2.0,4.0,15.0,max_steps+autorolled,True,7.988000000000001,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129168940222,0.5360146684650962,10,44384,1186,48.73548479999954,
20260419T100536Z__deepseek-chat__kundur_a2__s1,deepseek-chat,deepseek-chat,kundur,kundur_a2,A2,1,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129137037885,0.5360146684650962,10,47531,1086,44.16213589999825,
20260419T100621Z__deepseek-chat__kundur_a2__s2,deepseek-chat,deepseek-chat,kundur,kundur_a2,A2,2,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129168940222,0.5360146684650962,10,58381,1282,47.47980129999996,
20260419T100709Z__deepseek-chat__ieee39_a1__s0,deepseek-chat,deepseek-chat,ieee39,ieee39_a1,A1,0,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,False,,,0.00025230768133588377,0.9988675915659938,0.14611530350635726,1.0755385766189225,10,60433,1074,43.913684700000886,
20260419T100754Z__deepseek-chat__ieee39_a1__s1,deepseek-chat,deepseek-chat,ieee39,ieee39_a1,A1,1,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,False,,,0.00025230768133588377,0.9988675915659938,0.14611530350635726,1.0755385766189225,10,60156,953,39.31641610000224,
20260419T100834Z__deepseek-chat__ieee39_a1__s2,deepseek-chat,deepseek-chat,ieee39,ieee39_a1,A1,2,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,False,,,0.00025230768133588377,0.9988675915659938,0.14611530350635726,1.0755385766189225,10,60491,1091,44.75786439999865,
20260419T100920Z__deepseek-chat__ieee39_a2__s0,deepseek-chat,deepseek-chat,ieee39,ieee39_a2,A2,0,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,False,,,0.0,1.0018570383987089,0.0,1.0459950475221669,10,73068,840,38.63166710000223,
20260419T101002Z__deepseek-chat__ieee39_a2__s1,deepseek-chat,deepseek-chat,ieee39,ieee39_a2,A2,1,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,False,,,0.0,1.0018570383987089,0.0,1.0459950475221669,10,65522,823,33.544217700000445,
20260419T101039Z__deepseek-chat__ieee39_a2__s2,deepseek-chat,deepseek-chat,ieee39,ieee39_a2,A2,2,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,False,,,0.0,1.0018570383987089,0.0,1.0459950475221669,10,71810,865,36.36340879999989,
20260419T101118Z__qwen3-plus__kundur_a1__s0,qwen3-plus,qwen-plus-latest,kundur,kundur_a1,A1,0,0.0,2.0,4.0,15.0,horizon_reached,False,8.202,True,voltage,2.0001,0.559045662985556,0.4194302459396467,1474.9889543253369,1453.1587456117672,10,92474,2121,55.42663510000057,
20260419T101214Z__qwen3-plus__kundur_a1__s1,qwen3-plus,qwen-plus-latest,kundur,kundur_a1,A1,1,0.0,2.0,4.0,15.0,max_steps+autorolled,False,6.627000000000001,True,voltage,2.0001,0.11051007179603056,-4.4216688009869484e-11,44.94326863248622,34.97266913813783,12,148582,1417,42.40643060000002,
20260419T101258Z__qwen3-plus__kundur_a1__s2,qwen3-plus,qwen-plus-latest,kundur,kundur_a1,A1,2,0.0,2.0,4.0,15.0,horizon_reached,False,8.202,True,voltage,2.0001,0.559045662985556,0.4194302459396467,1474.9889543253369,1453.1587456117672,10,36300,1186,33.28153559999919,
20260419T101332Z__qwen3-plus__kundur_a2__s0,qwen3-plus,qwen-plus-latest,kundur,kundur_a2,A2,0,0.0,2.0,4.0,15.0,horizon_reached,True,9.147,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129164009199,0.5360146684650962,10,54715,1308,35.172408799997356,
20260419T101408Z__qwen3-plus__kundur_a2__s1,qwen3-plus,qwen-plus-latest,kundur,kundur_a2,A2,1,0.0,2.0,4.0,15.0,horizon_reached,True,3.477,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129164009199,0.5360146684650962,7,80175,1666,45.04477440000119,
20260419T101453Z__qwen3-plus__kundur_a2__s2,qwen3-plus,qwen-plus-latest,kundur,kundur_a2,A2,2,0.0,2.0,4.0,15.0,horizon_reached,True,11.982000000000001,True,delta,2.9334333333333302,0.0065982188428943545,0.8716010434085697,12.188129164009199,0.5360146684650962,10,90030,1206,36.21295409999948,
20260419T101530Z__qwen3-plus__ieee39_a1__s0,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a1,A1,0,0.0,2.0,4.0,15.0,horizon_reached,True,1.3170000000000002,False,,,0.00025230768133588377,0.9988675915659938,0.334269766862912,1.0755385766189225,14,236387,2122,62.42749699999695,
20260419T101634Z__qwen3-plus__ieee39_a1__s1,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a1,A1,1,0.0,2.0,4.0,15.0,horizon_reached,True,1.3599999999999999,False,,,0.00025230768133588377,0.9988675915659938,0.334269766862912,1.0755385766189225,14,217117,2593,72.19724389999828,
20260419T101747Z__qwen3-plus__ieee39_a1__s2,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a1,A1,2,0.0,2.0,4.0,15.0,horizon_reached,True,1.2,False,,,0.0004529109923692154,0.9988675915659938,0.10507976371162431,1.0755385766189225,12,255192,4263,115.36922119999872,
20260419T101943Z__qwen3-plus__ieee39_a2__s0,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a2,A2,0,0.0,2.0,4.0,15.0,max_steps+autorolled,True,4.4916,False,,,0.0,1.0018570383987089,0.0,1.0459950475221669,15,214401,1074,39.217939499998465,
20260419T102025Z__qwen3-plus__ieee39_a2__s1,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a2,A2,1,0.0,2.0,4.0,15.0,max_steps+autorolled,True,2.1,False,,,0.0,1.0018570383987089,0.0,1.0459950475221669,12,220758,1011,43.09790449999855,
20260419T102112Z__qwen3-plus__ieee39_a2__s2,qwen3-plus,qwen-plus-latest,ieee39,ieee39_a2,A2,2,0.0,2.0,4.0,15.0,no_tool_call+autorolled,True,3.1875000000000004,False,,,0.0,1.0018570383987089,0.0,1.0459950475221669,17,160816,2134,58.5589504999989,
